ID,Skill,Status,Agent,Source,LocalPath,Installed,LastUpdated,Purpose,Notes
skill-142,ags-consult,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-consult,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-143,ags-debate,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-debate,2026-04-07,2026-04-07,用于测试设计、测试增强和测试验证,从 AgentSys 仓库导入
skill-144,ags-deslop,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-deslop,2026-04-07,2026-04-07,用于问题定位、根因分析和持续改进,从 AgentSys 仓库导入
skill-145,ags-discover-tasks,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-discover-tasks,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-146,ags-drift-analysis,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-drift-analysis,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-147,ags-enhance-agent-prompts,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-agent-prompts,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-148,ags-enhance-claude-memory,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-claude-memory,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-149,ags-enhance-cross-file,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-cross-file,2026-04-07,2026-04-07,用于技能设计、提示优化和代理工作流改进,从 AgentSys 仓库导入
skill-150,ags-enhance-docs,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-docs,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-151,ags-enhance-hooks,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-hooks,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-152,ags-enhance-orchestrator,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-orchestrator,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-153,ags-enhance-plugins,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-plugins,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 AgentSys 仓库导入
skill-154,ags-enhance-prompts,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-prompts,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-155,ags-enhance-skills,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-enhance-skills,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-156,ags-learn,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-learn,2026-04-07,2026-04-07,用于会话恢复、上下文管理和历史检索,从 AgentSys 仓库导入
skill-171,ags-maintain-cross-platform,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-maintain-cross-platform,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-157,ags-orchestrate-review,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-orchestrate-review,2026-04-07,2026-04-07,用于安全审计、漏洞分析和风险检测,从 AgentSys 仓库导入
skill-158,ags-perf-analyzer,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-analyzer,2026-04-07,2026-04-07,用于 ags perf analyzer 相关任务,从 AgentSys 仓库导入
skill-159,ags-perf-baseline-manager,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-baseline-manager,2026-04-07,2026-04-07,用于 ags perf baseline manager 相关任务,从 AgentSys 仓库导入
skill-160,ags-perf-benchmarker,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-benchmarker,2026-04-07,2026-04-07,用于任务规划、拆解执行和多代理协作,从 AgentSys 仓库导入
skill-161,ags-perf-code-paths,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-code-paths,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-162,ags-perf-investigation-logger,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-investigation-logger,2026-04-07,2026-04-07,用于 Git 流程、分支协作和 Issue/PR 管理,从 AgentSys 仓库导入
skill-163,ags-perf-profiler,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-profiler,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-164,ags-perf-theory-gatherer,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-theory-gatherer,2026-04-07,2026-04-07,用于 Git 流程、分支协作和 Issue/PR 管理,从 AgentSys 仓库导入
skill-165,ags-perf-theory-tester,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-perf-theory-tester,2026-04-07,2026-04-07,用于问题定位、根因分析和持续改进,从 AgentSys 仓库导入
skill-166,ags-repo-intel,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-repo-intel,2026-04-07,2026-04-07,用于代码评审、差异检查和问题发现,从 AgentSys 仓库导入
skill-167,ags-sync-docs,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-sync-docs,2026-04-07,2026-04-07,用于文档写作、说明整理和表达优化,从 AgentSys 仓库导入
skill-168,ags-validate-delivery,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-validate-delivery,2026-04-07,2026-04-07,用于测试设计、测试增强和测试验证,从 AgentSys 仓库导入
skill-169,ags-web-auth,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-web-auth,2026-04-07,2026-04-07,用于技能设计、提示优化和代理工作流改进,从 AgentSys 仓库导入
skill-170,ags-web-browse,active,OpenCode,https://github.com/avifenesh/agentsys,C:\Users\Administrator\.claude\skills\ags-web-browse,2026-04-07,2026-04-07,用于技能设计、提示优化和代理工作流改进,从 AgentSys 仓库导入
skill-010,cek-agent-evaluation,active,OpenCode,https://github.com/NeoLabHQ/context-engineering-kit,C:\Users\Administrator\.claude\skills\cek-agent-evaluation,2026-04-07,2026-04-07,评估和改进 commands、skills、agents 的效果,从 context-engineering-kit 精选并整理导入
